bbref_id,season,Name,Age,Level,Team,G,PA,AB,R,H,X1B,X2B,X3B,HR,RBI,BB,IBB,uBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
shawtr01,2022,Travis Shaw,32,Maj-AL,Boston,7,19,19,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
perezca03,2022,Carlos Pérez,25,Maj-AL,Chicago,7,18,18,0,4,2,2,0,0,2,0,0,0,2,0,0,0,1,0,0,0.222,0.222,0.333,0.556
machadi01,2022,Dixon Machado,30,Maj-NL,San Francisco,5,17,15,1,3,3,0,0,0,0,1,0,1,5,1,0,0,0,0,0,0.2,0.294,0.2,0.494
ellisdr01,2022,Drew Ellis,26,"Maj-AL,Maj-NL","Arizona,Seattle",7,17,16,2,3,2,1,0,0,1,1,0,1,7,0,0,0,0,0,0,0.188,0.235,0.25,0.485
mastrmi01,2022,Miles Mastrobuoni,26,Maj-AL,Tampa Bay,8,17,16,1,3,3,0,0,0,0,1,0,1,6,0,0,0,0,1,0,0.188,0.235,0.188,0.423
pinama01,2022,Manny Piña,35,Maj-NL,Atlanta,5,17,14,1,2,2,0,0,0,2,1,0,1,1,1,0,1,0,0,0,0.143,0.235,0.143,0.378
bradlbo01,2022,Bobby Bradley,26,Maj-AL,Cleveland,8,17,17,1,2,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0.118,0.118,0.118,0.235
outmaja01,2022,James Outman,25,Maj-NL,Los Angeles,4,16,13,6,6,3,2,0,1,3,2,0,2,7,1,0,0,0,0,0,0.462,0.563,0.846,1.409
ohopplo01,2022,Logan O'Hoppe,22,Maj-AL,Los Angeles,5,16,14,1,4,4,0,0,0,2,2,0,2,3,0,0,0,0,0,0,0.286,0.375,0.286,0.661
reyespa01,2022,Pablo Reyes,28,Maj-NL,Milwaukee,5,16,15,1,4,4,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0.267,0.313,0.267,0.579
walkest01,2022,Steele Walker,25,Maj-AL,Texas,5,16,14,1,1,0,0,0,1,1,2,0,2,4,0,0,0,0,0,0,0.071,0.188,0.286,0.473
allenau01,2022,Austin Allen,28,Maj-AL,Oakland,5,16,14,1,1,1,0,0,0,0,1,0,1,9,1,0,0,1,0,0,0.071,0.188,0.071,0.259
lavasbr01,2022,Bryan Lavastida,23,Maj-AL,Cleveland,6,15,12,0,1,1,0,0,0,0,3,0,3,4,0,0,0,0,0,0,0.083,0.267,0.083,0.35
bannory01,2022,Rylan Bannon,26,"Maj-AL,Maj-NL","Atlanta,Baltimore",5,15,14,0,2,2,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0.143,0.2,0.143,0.343
harrimo01,2022,Monte Harrison,26,Maj-AL,Los Angeles,9,14,11,5,2,1,0,0,1,3,2,0,2,8,1,0,0,1,1,0,0.182,0.357,0.455,0.812
alvarfr01,2022,Francisco Alvarez,20,Maj-NL,New York,5,14,12,3,2,0,1,0,1,1,2,0,2,4,0,0,0,1,0,0,0.167,0.286,0.5,0.786
dixonbr01,2022,Brandon Dixon,30,Maj-NL,San Diego,5,14,14,1,3,2,1,0,0,1,0,0,0,5,0,0,0,1,0,0,0.214,0.214,0.286,0.5
thomadi01,2022,Dillon Thomas,29,Maj-AL,Los Angeles,8,14,11,1,1,1,0,0,0,0,2,0,2,6,1,0,0,0,0,0,0.091,0.286,0.091,0.377
pinedis01,2022,Israel Pineda,22,Maj-NL,Washington,4,14,13,1,1,1,0,0,0,0,1,0,1,7,0,0,0,0,0,0,0.077,0.143,0.077,0.22
okeych01,2022,Chris Okey,27,Maj-NL,Cincinnati,7,13,12,3,2,2,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0.167,0.231,0.167,0.398
pillake01,2022,Kevin Pillar,33,Maj-NL,Los Angeles,4,13,12,1,1,0,1,0,0,0,1,0,1,4,0,0,0,1,0,0,0.083,0.154,0.167,0.321
shortza01,2022,Zack Short,27,Maj-AL,Detroit,6,13,9,2,0,0,0,0,0,2,2,0,2,5,0,0,2,0,1,0,0,0.154,0,0.154
jacksal02,2022,Alex Jackson,26,Maj-NL,Milwaukee,5,12,12,0,3,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0.25,0.25,0.25,0.5
dunanjo01,2022,Joe Dunand,26,Maj-NL,Miami,3,11,10,2,3,1,1,0,1,1,0,0,0,3,1,0,0,0,0,0,0.3,0.364,0.7,1.064
garnedu01,2022,Dustin Garneau,34,Maj-AL,Detroit,8,11,10,1,3,2,1,0,0,1,1,0,1,4,0,0,0,0,0,0,0.3,0.364,0.4,0.764
katohgo01,2022,Gosuke Katoh,27,Maj-AL,Toronto,8,11,7,2,1,0,1,0,0,0,3,0,3,1,0,1,0,0,0,0,0.143,0.4,0.286,0.686
